,net
269,-9.9999999999989e-05
270,-0.0005999999999999
271,-0.0078999999999999
272,0.0050999999999999
273,0.0222999999999999
274,-0.0135
275,0.0346
276,0.0141999999999999
277,0.0346
278,-0.0211
279,0.0166
280,0.0140999999999999
281,0.0082999999999999
282,-0.0016
283,0.0065999999999999
284,-0.0084
285,0.0036
286,0.0346
287,0.0346
288,0.0134
289,0.0346
290,0.0339999999999999
291,0.0346
292,0.0346
293,0.0417
294,0.0043999999999999
295,0.0346
296,0.0043999999999999
297,0.0252999999999999
298,0.0346
299,0.0399999999999999
300,0.0055999999999999
301,-9.9999999999989e-05
302,0.0065999999999999
303,-0.0084
304,0.0050999999999999
305,-0.0230999999999999
306,-0.008
307,0.0075999999999999
308,-0.0211
309,0.0
310,-0.0002999999999999
311,0.0135
312,0.0046999999999999
313,-0.0326
314,-0.0396
315,0.0093999999999999
316,-0.0009
317,0.0065999999999999
318,0.0399999999999999
319,-0.0016
320,-0.0102999999999999
321,0.0343
322,0.0346
323,0.0416
324,0.0082999999999999
325,0.011
326,0.0346
327,-0.0396
328,0.0346
329,0.0343
330,-0.0009
331,0.0013
332,-0.0135
333,0.0075999999999999
334,-0.0135
335,0.0346
336,-0.0039
337,0.0021
338,-0.0045
339,-0.0005999999999999
340,-0.007
341,-0.0112999999999999
342,-0.0089
343,0.0005
344,0.0399999999999999
345,-0.007
346,-0.0039
347,-0.0057
348,0.011
349,0.0346
350,0.0098999999999999
351,0.0055999999999999
352,-0.0326
353,-0.0045
354,-0.0145
355,0.0179
356,-0.0230999999999999
357,0.0399999999999999
358,-0.0166999999999999
359,0.0015999999999999
360,0.0493
361,0.0179
362,0.0043999999999999
363,0.0346
364,0.0134
365,-0.0002999999999999
366,-0.0145
367,0.0252999999999999
368,0.0140999999999999
369,-9.9999999999989e-05
370,-0.0057
371,-0.007
372,0.0057999999999999
373,-0.0135
374,0.0055999999999999
375,-0.007
376,-0.0057
377,0.0134
378,-0.0009
379,-0.021
380,-0.024
381,-0.0078999999999999
382,-0.0244999999999999
383,-0.0326
384,0.0036
385,-0.0089
386,-0.0326
387,0.0111999999999999
388,-0.008
389,-0.0074
390,0.0346
391,-0.0326
392,-0.024
393,0.014
394,-0.024
395,0.0046999999999999
396,-0.021
397,-0.0244999999999999
398,0.0075
399,-0.0126
400,0.0346
401,0.0346
402,0.0346
403,0.0346
404,0.0343
405,-0.0036999999999999
406,0.0399999999999999
407,-0.0166999999999999
408,0.0172
409,-9.9999999999989e-05
410,0.0045
411,-9.9999999999989e-05
412,-0.0146
413,0.0346
414,0.0166
415,0.0134
416,0.0346
417,0.0346
418,0.0134
419,0.0399999999999999
420,0.0346
421,0.0346
422,0.0082999999999999
423,0.0339999999999999
424,0.0036
425,-9.9999999999989e-05
426,0.0172
427,-0.0112999999999999
428,-0.0057
429,0.0098999999999999
430,-0.024
431,0.0093999999999999
432,0.0050999999999999
433,-0.0002999999999999
434,0.0346
435,0.0045
